created_at,entry_id,field1
2020-07-14 06:48:23 UTC,165,28.10
2020-07-14 06:48:39 UTC,166,28.10
2020-07-14 06:48:54 UTC,167,28.20
2020-07-14 06:49:10 UTC,168,28.20
2020-07-14 06:49:26 UTC,169,28.20
2020-07-14 06:49:42 UTC,170,28.20
2020-07-14 06:49:57 UTC,171,28.20
2020-07-14 06:50:13 UTC,172,28.20
2020-07-14 06:50:28 UTC,173,28.30
2020-07-14 06:50:43 UTC,174,28.30
2020-07-14 06:51:02 UTC,175,28.30
2020-07-14 06:51:18 UTC,176,28.30
2020-07-14 06:51:33 UTC,177,28.20
2020-07-14 06:51:49 UTC,178,28.20
2020-07-14 06:52:04 UTC,179,28.20
2020-07-14 06:52:19 UTC,180,28.20
2020-07-14 06:52:35 UTC,181,28.20
2020-07-14 06:52:54 UTC,182,28.10
2020-07-14 06:53:09 UTC,183,28.00
2020-07-14 06:53:25 UTC,184,28.00
2020-07-14 06:53:40 UTC,185,27.90
2020-07-14 06:53:55 UTC,186,27.90
2020-07-14 06:54:10 UTC,187,27.80
2020-07-14 06:54:26 UTC,188,27.70
2020-07-14 06:54:41 UTC,189,27.60
2020-07-14 06:54:57 UTC,190,27.60
2020-07-14 06:55:13 UTC,191,27.50
2020-07-14 06:55:28 UTC,192,27.40
2020-07-14 06:55:44 UTC,193,27.40
2020-07-14 06:56:00 UTC,194,27.30
2020-07-14 06:56:16 UTC,195,27.30
2020-07-14 06:56:32 UTC,196,27.30
2020-07-14 06:56:51 UTC,197,27.20
2020-07-14 06:57:06 UTC,198,27.10
2020-07-14 06:57:21 UTC,199,27.10
2020-07-14 06:57:36 UTC,200,27.00
2020-07-14 06:57:52 UTC,201,27.00
2020-07-14 06:58:07 UTC,202,26.90
2020-07-14 06:58:22 UTC,203,26.90
2020-07-14 06:58:38 UTC,204,26.80
2020-07-14 06:58:54 UTC,205,26.80
2020-07-14 06:59:09 UTC,206,26.80
2020-07-14 06:59:24 UTC,207,26.70
2020-07-14 06:59:40 UTC,208,26.70
2020-07-14 06:59:55 UTC,209,26.60
2020-07-14 07:00:11 UTC,210,26.60
2020-07-14 07:00:26 UTC,211,26.60
2020-07-14 07:00:41 UTC,212,26.50
2020-07-14 07:00:56 UTC,213,26.50
2020-07-14 07:01:12 UTC,214,26.50
2020-07-14 07:01:28 UTC,215,26.40
2020-07-14 07:01:43 UTC,216,26.40
2020-07-14 07:01:59 UTC,217,26.30
2020-07-14 07:02:14 UTC,218,26.30
2020-07-14 07:02:30 UTC,219,26.30
2020-07-14 07:02:45 UTC,220,26.30
2020-07-14 07:03:01 UTC,221,26.20
2020-07-14 07:03:16 UTC,222,26.20
2020-07-14 07:03:31 UTC,223,26.20
2020-07-14 07:03:47 UTC,224,26.20
2020-07-14 07:04:02 UTC,225,26.20
2020-07-14 07:04:17 UTC,226,26.10
2020-07-14 07:04:33 UTC,227,25.90
2020-07-14 07:04:48 UTC,228,26.00
2020-07-14 07:05:03 UTC,229,26.00
2020-07-14 07:05:19 UTC,230,26.00
2020-07-14 07:05:34 UTC,231,25.90
2020-07-14 07:05:50 UTC,232,25.90
2020-07-14 07:06:05 UTC,233,25.90
2020-07-14 07:06:20 UTC,234,25.90
2020-07-14 07:06:35 UTC,235,25.90
2020-07-14 07:06:51 UTC,236,25.90
2020-07-14 07:07:06 UTC,237,25.90
2020-07-14 07:07:22 UTC,238,25.90
2020-07-14 07:07:37 UTC,239,25.80
2020-07-14 07:07:53 UTC,240,25.80
2020-07-14 07:08:09 UTC,241,25.80
2020-07-14 07:08:24 UTC,242,25.80
2020-07-14 07:08:40 UTC,243,25.80
2020-07-14 07:08:55 UTC,244,25.80
2020-07-14 07:09:10 UTC,245,25.70
2020-07-14 07:09:26 UTC,246,25.70
2020-07-14 07:09:41 UTC,247,25.70
2020-07-14 07:09:56 UTC,248,25.70
2020-07-14 07:10:12 UTC,249,25.70
2020-07-14 07:10:27 UTC,250,25.70
2020-07-14 07:10:42 UTC,251,25.70
2020-07-14 07:10:57 UTC,252,25.70
2020-07-14 07:11:13 UTC,253,25.70
2020-07-14 07:11:28 UTC,254,25.70
2020-07-14 07:11:43 UTC,255,25.70
2020-07-14 07:11:58 UTC,256,25.70
2020-07-14 07:12:14 UTC,257,25.80
2020-07-14 07:12:29 UTC,258,25.80
2020-07-14 07:12:44 UTC,259,25.90
2020-07-14 07:12:59 UTC,260,26.00
2020-07-14 07:13:15 UTC,261,26.20
2020-07-14 07:13:31 UTC,262,26.40
2020-07-14 07:13:46 UTC,263,26.50
2020-07-14 07:14:02 UTC,264,26.70
